NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,金刀比羅神社,,島根県浜田市松原町586,,,,1.7,―,,322024,島根県,浜田市,,,,,,,,,,,,,避難所看板なし。海岸沿いなので津波の場合は不向き
2,健康増進センタ－,,島根県浜田市松原町277-6,,,,1.1,0855-23-0273,,322024,島根県,浜田市,,,,,,,,,,,,,
3,子育て支援センター(すくすく),,島根県浜田市松原町235-1,,,,1.9,0855-22-1253,,322024,島根県,浜田市,,,,,,,,,,,,,
4,ちどり保育所,,島根県浜田市松原町239-1,,,,2.1,0855-22-0986,,322024,島根県,浜田市,,,,,,,,,,,,,
5,厳島神社,,島根県浜田市松原町317-1,,,,2.9,0855-22-0242,,322024,島根県,浜田市,,,,,,,,,,,,,避難所看板なし
6,心覚院,,島根県浜田市松原町266,,,,3.3,0855-22-0985,,322024,島根県,浜田市,,,,,,,,,,,,,避難所看板なし。海岸沿いなので津波の場合は不向き
7,勤労青少年ホーム,,島根県浜田市殿町123-10,,,,34.1,0855-22-5043,,322024,島根県,浜田市,,,,,,,,,,,,,
8,浜田商工会議所,,島根県浜田市殿町124-2,,,,5.1,0855-22-3025,,322024,島根県,浜田市,,,,,,,,,,,,,駐車場10台は別の場所
9,夕日ケ丘聖母幼稚園,,島根県浜田市殿町55-1,,,,1.4,0855-22-3328,,322024,島根県,浜田市,,,,,,,,,,,,,
10,NTT浜田ビル,,島根県浜田市殿町2,,,,3.6,―,,322024,島根県,浜田市,,,,,,,,,,,,,
11,浜田護国神社(社務所),,島根県浜田市殿町123-10,,,,34.1,―,,322024,島根県,浜田市,,,,,,,,,,,,,
12,浜田公民館,,島根県浜田市殿町6-1,,,,2,0855-22-9358,,322024,島根県,浜田市,,,,,,,,,,,,,駐車場は市役所兼用
13,龍泉寺,,島根県浜田市田町18-1,,,,4.1,0855-23-0933,,322024,島根県,浜田市,,,,,,,,,,,,,
14,琵琶町児童館集会所,,島根県浜田市琵琶町127,,,,4.8,―,,322024,島根県,浜田市,,,,,,,,,,,,,
15,朝日町研修センター,,島根県浜田市朝日町56-2,,,,4.7,0855-23-2750,,322024,島根県,浜田市,,,,,,,,,,,,,非常口あり
16,紺屋町会館,,島根県浜田市紺屋町81-3,,,,4.8,―,,322024,島根県,浜田市,,,,,,,,,,,,,
17,宝珠院,,島根県浜田市真光町83-1,,,,4.1,0855-28-7736,,322024,島根県,浜田市,,,,,,,,,,,,,駐車場は軽のみ
18,観音寺,,島根県浜田市真光町63,,,,4.1,0855-22-1339,,322024,島根県,浜田市,,,,,,,,,,,,,
19,原井小学校,,島根県浜田市港町208,,,,5.5,0855-22-0863,,322024,島根県,浜田市,,,,,,,,,,,,,
20,原井幼稚園,,島根県浜田市高田町65-6,,,,1.1,0855-22-0076,,322024,島根県,浜田市,,,,,,,,,,,,,
21,あおい保育園,,島根県浜田市大辻町87-1,,,,4.8,0855-23-5874,,322024,島根県,浜田市,,,,,,,,,,,,,
